,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.10344828,3.278682e-05
1,2022-06-29,P1,A,0.15068494,4.4150067e-05
2,2022-06-30,P1,A,0.19333333,6.939036e-05
3,2022-07-01,P1,A,0.18543047,6.06331e-05
4,2022-07-02,P1,A,0.14569536,5.7888e-05
5,2022-07-03,P1,A,0.13157895,5.0423318e-05
6,2022-07-04,P1,A,0.12418301,2.6126865e-05
7,2022-07-05,P1,A,0.1764706,7.2531555e-05
8,2022-07-06,P1,A,0.18831168,6.1371196e-05
9,2022-07-07,P1,A,0.14838709,4.2048752e-05
10,2022-07-08,P1,A,0.18589744,4.816137e-05
11,2022-07-09,P1,A,0.1923077,6.57021e-05
12,2022-07-10,P1,A,0.14556962,6.0104398e-05
13,2022-07-11,P1,A,0.10759494,4.568602e-05
14,2022-07-12,P1,A,0.2327044,8.596749e-05
15,2022-07-13,P1,A,0.14375,5.9946164e-05
16,2022-07-15,P1,A,0.12345679,4.7011446e-05
17,2022-07-16,P1,A,0.14814815,5.2671494e-05
18,2022-07-17,P1,A,0.19631901,9.139716e-05
19,2022-07-18,P1,A,0.18292683,8.281394e-05
20,2022-07-19,P1,A,0.2,7.816514e-05
21,2022-07-21,P1,A,0.19277108,6.665726e-05
22,2022-07-22,P1,A,0.1736527,6.22706e-05
23,2022-07-23,P1,A,0.13095239,3.544834e-05
24,2022-07-24,P1,A,0.20118344,7.133508e-05
25,2022-07-25,P1,A,0.15882353,7.1370116e-05
26,2022-07-26,P1,A,0.12941177,4.3188957e-05
27,2022-07-29,P1,A,0.11627907,3.728622e-05
28,2022-07-30,P1,A,0.12716763,5.1039347e-05
29,2022-07-31,P1,A,0.109195404,7.22187e-05
30,2022-08-01,P1,A,0.14367816,7.8118544e-05
31,2022-08-02,P1,A,0.109195404,4.8207563e-05
32,2022-08-05,P1,A,0.13218391,7.192267e-05
33,2022-08-06,P1,A,0.14942528,6.163371e-05
34,2022-08-07,P1,A,0.13218391,5.7365578e-05
35,2022-08-08,P1,A,0.08045977,3.8982776e-05
36,2022-08-09,P1,A,0.15517241,6.5488945e-05
37,2022-08-10,P1,A,0.12643678,4.828374e-05
38,2022-08-11,P1,A,0.14942528,6.5872664e-05
39,2022-08-12,P1,A,0.14942528,8.111742e-05
40,2022-08-13,P1,A,0.21264368,7.678338e-05
41,2022-08-14,P1,A,0.14367816,6.277988e-05
42,2022-08-15,P1,A,0.12068965,5.7163765e-05
43,2022-08-16,P1,A,0.14942528,5.9870752e-05
44,2022-08-17,P1,A,0.16666667,7.006982e-05
45,2022-08-18,P1,A,0.14942528,6.5611915e-05
46,2022-08-19,P1,A,0.17816092,4.5786797e-05
47,2022-08-20,P1,A,0.16091955,4.4048073e-05
48,2022-08-21,P1,A,0.1724138,4.8103953e-05
49,2022-08-22,P1,A,0.16666667,5.240902e-05
50,2022-08-23,P1,A,0.15517241,4.8931102e-05
51,2022-08-24,P1,A,0.14367816,5.6054287e-05
52,2022-08-25,P1,A,0.16091955,5.6178284e-05
53,2022-08-26,P1,A,0.12643678,4.723957e-05
54,2022-08-27,P1,A,0.1724138,9.4441486e-05
55,2022-08-28,P1,A,0.14942528,7.989155e-05
56,2022-08-29,P1,A,0.109195404,4.806049e-05
57,2022-08-30,P1,A,0.1724138,6.4797496e-05
58,2022-08-31,P1,A,0.20689656,9.802439e-05
59,2022-09-01,P1,A,0.09770115,4.73539e-05
60,2022-09-02,P1,A,0.12068965,4.6464556e-05
61,2022-09-03,P1,A,0.15517241,7.793249e-05
62,2022-09-04,P1,A,0.12068965,6.0873044e-05
63,2022-09-05,P1,A,0.16666667,9.097902e-05
64,2022-09-06,P1,A,0.16666667,8.504766e-05
65,2022-09-07,P1,A,0.16091955,6.5782915e-05
66,2022-09-08,P1,A,0.12068965,5.1184048e-05
67,2022-09-09,P1,A,0.13218391,6.0489085e-05
68,2022-09-12,P1,A,0.12643678,5.555004e-05
0,2022-06-28,P9,B,0.0477707,1.3881871e-05
1,2022-06-29,P9,B,0.027070064,7.7729665e-06
2,2022-06-30,P9,B,0.035031848,7.789847e-06
3,2022-07-01,P9,B,0.05254777,1.3836269e-05
4,2022-07-02,P9,B,0.05732484,1.7045573e-05
5,2022-07-03,P9,B,0.06210191,1.5119735e-05
6,2022-07-04,P9,B,0.046178345,1.0418166e-05
7,2022-07-05,P9,B,0.0477707,1.8853809e-05
8,2022-07-06,P9,B,0.0477707,1.4100263e-05
9,2022-07-07,P9,B,0.050955415,1.4367782e-05
10,2022-07-08,P9,B,0.039808918,1.3005354e-05
11,2022-07-09,P9,B,0.035031848,1.2923444e-05
12,2022-07-10,P9,B,0.046178345,1.1940791e-05
13,2022-07-11,P9,B,0.035031848,9.976669e-06
14,2022-07-12,P9,B,0.041401275,1.1386664e-05
15,2022-07-13,P9,B,0.04299363,1.1659838e-05
16,2022-07-15,P9,B,0.030254778,6.4861583e-06
17,2022-07-16,P9,B,0.03821656,1.145945e-05
18,2022-07-17,P9,B,0.041401275,1.1610812e-05
19,2022-07-18,P9,B,0.02388535,4.1473586e-06
20,2022-07-19,P9,B,0.03343949,6.759201e-06
21,2022-07-21,P9,B,0.044585988,1.7074794e-05
22,2022-07-22,P9,B,0.035031848,8.6403525e-06
23,2022-07-23,P9,B,0.022292994,8.843463e-06
24,2022-07-24,P9,B,0.025477707,6.594217e-06
25,2022-07-25,P9,B,0.031847134,9.942828e-06
26,2022-07-26,P9,B,0.036624204,1.1429674e-05
27,2022-07-29,P9,B,0.030120483,1.6534227e-06
28,2022-07-30,P9,B,0.044176705,5.533818e-06
29,2022-07-31,P9,B,0.036144577,2.0900036e-06
30,2022-08-01,P9,B,0.02811245,3.291701e-06
31,2022-08-02,P9,B,0.053488374,1.0024906e-05
32,2022-08-05,P9,B,0.06511628,8.215033e-06
33,2022-08-06,P9,B,0.053488374,1.1320975e-05
34,2022-08-07,P9,B,0.027906977,6.2492713e-06
35,2022-08-08,P9,B,0.046511628,9.229316e-06
36,2022-08-09,P9,B,0.05851064,1.3035764e-05
37,2022-08-10,P9,B,0.047872342,8.912651e-06
38,2022-08-11,P9,B,0.07886435,2.318675e-05
39,2022-08-12,P9,B,0.0977918,4.21234e-05
40,2022-08-13,P9,B,0.08080808,2.475908e-05
41,2022-08-14,P9,B,0.033670034,8.203175e-06
42,2022-08-15,P9,B,0.09090909,2.468182e-05
43,2022-08-16,P9,B,0.057239056,1.3310162e-05
44,2022-08-17,P9,B,0.074074075,2.382427e-05
45,2022-08-18,P9,B,0.06734007,2.164295e-05
46,2022-08-19,P9,B,0.10431655,2.4774507e-05
47,2022-08-20,P9,B,0.118705034,2.589043e-05
48,2022-08-21,P9,B,0.1438849,3.3655084e-05
49,2022-08-22,P9,B,0.12230216,3.0344108e-05
50,2022-08-23,P9,B,0.14748201,3.0524174e-05
51,2022-08-24,P9,B,0.1438849,3.4079338e-05
52,2022-08-25,P9,B,0.08273381,2.4021005e-05
53,2022-08-26,P9,B,0.114754096,3.323392e-05
54,2022-08-27,P9,B,0.07786885,3.110531e-05
55,2022-08-28,P9,B,0.06557377,2.0606358e-05
56,2022-08-29,P9,B,0.06557377,2.8351942e-05
57,2022-08-30,P9,B,0.057377048,1.6720665e-05
58,2022-08-31,P9,B,0.11065574,3.2008284e-05
59,2022-09-01,P9,B,0.11065574,3.001125e-05
60,2022-09-02,P9,B,0.08196721,2.4954878e-05
61,2022-09-03,P9,B,0.086065575,1.8078557e-05
62,2022-09-04,P9,B,0.09836066,1.8966823e-05
63,2022-09-05,P9,B,0.08196721,2.4503699e-05
64,2022-09-06,P9,B,0.09016393,2.8902174e-05
65,2022-09-07,P9,B,0.06967213,1.7095965e-05
66,2022-09-08,P9,B,0.08196721,2.7003834e-05
67,2022-09-09,P9,B,0.045081966,1.2739237e-05
68,2022-09-12,P9,B,0.04918033,6.322484e-06
0,2022-06-28,P8,B,0.11829026,3.218304e-05
1,2022-06-29,P8,B,0.15208748,3.373193e-05
2,2022-06-30,P8,B,0.1332008,3.526906e-05
3,2022-07-01,P8,B,0.1083499,2.0775082e-05
4,2022-07-02,P8,B,0.12425447,3.1012976e-05
5,2022-07-03,P8,B,0.1252485,3.4800483e-05
6,2022-07-04,P8,B,0.13518886,3.5143024e-05
7,2022-07-05,P8,B,0.14910537,3.9356688e-05
8,2022-07-06,P8,B,0.14115308,4.1467727e-05
9,2022-07-07,P8,B,0.1361829,3.076415e-05
10,2022-07-08,P8,B,0.1252485,3.0268866e-05
11,2022-07-09,P8,B,0.09840954,2.3192924e-05
12,2022-07-10,P8,B,0.119284295,2.664581e-05
13,2022-07-11,P8,B,0.10337972,2.4086958e-05
14,2022-07-12,P8,B,0.1252485,2.6854934e-05
15,2022-07-13,P8,B,0.122266404,2.6770478e-05
16,2022-07-15,P8,B,0.105367795,1.7974357e-05
17,2022-07-16,P8,B,0.11232604,2.7379798e-05
18,2022-07-17,P8,B,0.116302185,2.8407985e-05
19,2022-07-18,P8,B,0.12127236,3.3882923e-05
20,2022-07-19,P8,B,0.09741551,3.1549585e-05
21,2022-07-21,P8,B,0.13725491,4.0367715e-05
22,2022-07-22,P8,B,0.1384083,4.0945764e-05
23,2022-07-23,P8,B,0.11188005,3.2678636e-05
24,2022-07-24,P8,B,0.102652825,2.218531e-05
25,2022-07-25,P8,B,0.11995386,2.6829912e-05
26,2022-07-26,P8,B,0.108419836,2.3591318e-05
27,2022-07-29,P8,B,0.108419836,2.1776648e-05
28,2022-07-30,P8,B,0.09919262,2.2684213e-05
29,2022-07-31,P8,B,0.0911188,2.0156356e-05
30,2022-08-01,P8,B,0.09342561,1.9345385e-05
31,2022-08-02,P8,B,0.10569106,2.695603e-05
32,2022-08-05,P8,B,0.098086126,2.5850384e-05
33,2022-08-06,P8,B,0.09688995,2.0933618e-05
34,2022-08-07,P8,B,0.09688995,2.4609904e-05
35,2022-08-08,P8,B,0.06818182,1.9744104e-05
36,2022-08-09,P8,B,0.08009709,2.3392775e-05
37,2022-08-10,P8,B,0.08588957,2.8021115e-05
38,2022-08-11,P8,B,0.10014104,3.0360441e-05
39,2022-08-12,P8,B,0.12976022,4.4439563e-05
40,2022-08-13,P8,B,0.10578279,3.187061e-05
41,2022-08-14,P8,B,0.12270804,3.427274e-05
42,2022-08-15,P8,B,0.13117066,3.494181e-05
43,2022-08-16,P8,B,0.112834975,2.5500785e-05
44,2022-08-17,P8,B,0.11484594,2.5846894e-05
45,2022-08-18,P8,B,0.08963586,2.1113123e-05
46,2022-08-19,P8,B,0.15686275,3.5567118e-05
47,2022-08-20,P8,B,0.1519537,3.443716e-05
48,2022-08-21,P8,B,0.12735167,3.2533986e-05
49,2022-08-22,P8,B,0.13892908,3.4804758e-05
50,2022-08-23,P8,B,0.15007216,3.98647e-05
51,2022-08-24,P8,B,0.13275613,3.651277e-05
52,2022-08-25,P8,B,0.13131313,3.641591e-05
53,2022-08-26,P8,B,0.10115607,3.817038e-05
54,2022-08-27,P8,B,0.11416185,3.464654e-05
55,2022-08-28,P8,B,0.119942196,3.6557365e-05
56,2022-08-29,P8,B,0.098265894,2.782045e-05
57,2022-08-30,P8,B,0.098265894,2.6586113e-05
58,2022-08-31,P8,B,0.12861271,3.338113e-05
59,2022-09-01,P8,B,0.119942196,3.0855994e-05
60,2022-09-02,P8,B,0.10115607,2.7745351e-05
61,2022-09-03,P8,B,0.10982659,2.5375852e-05
62,2022-09-04,P8,B,0.12716763,2.7335227e-05
63,2022-09-05,P8,B,0.10982659,2.3742863e-05
64,2022-09-06,P8,B,0.10693642,2.5110241e-05
65,2022-09-07,P8,B,0.095375724,2.6897722e-05
66,2022-09-08,P8,B,0.112716764,3.0159843e-05
67,2022-09-09,P8,B,0.10982659,3.1311498e-05
68,2022-09-12,P8,B,0.10237389,2.595195e-05
0,2022-06-28,P5,B,0.12236122,2.464678e-05
1,2022-06-29,P5,B,0.14203805,2.5818246e-05
2,2022-06-30,P5,B,0.14607766,2.466121e-05
3,2022-07-01,P5,B,0.14963216,2.548242e-05
4,2022-07-02,P5,B,0.21973217,3.758336e-05
5,2022-07-03,P5,B,0.18529654,3.3982822e-05
6,2022-07-04,P5,B,0.17190489,3.2926782e-05
7,2022-07-05,P5,B,0.1904892,3.6972117e-05
8,2022-07-06,P5,B,0.16616562,2.9849947e-05
