,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,B,0.5103448,4.938368e-05
1,2022-06-29,P1,B,0.46575344,3.4104403e-05
2,2022-06-30,P1,B,0.48,2.0851036e-05
3,2022-07-01,P1,B,0.4834437,2.4547371e-05
4,2022-07-02,P1,B,0.6225166,5.1799525e-05
5,2022-07-03,P1,B,0.4276316,3.2865206e-05
6,2022-07-04,P1,B,0.59477127,4.2681422e-05
7,2022-07-05,P1,B,0.49019608,3.3056782e-05
8,2022-07-06,P1,B,0.66233766,3.9938826e-05
9,2022-07-07,P1,B,0.516129,3.1338215e-05
10,2022-07-08,P1,B,0.57051283,3.236918e-05
11,2022-07-09,P1,B,0.64102566,3.8978542e-05
12,2022-07-10,P1,B,0.5506329,2.9378041e-05
13,2022-07-11,P1,B,0.49367088,2.4666602e-05
14,2022-07-12,P1,B,0.5597484,2.3505092e-05
15,2022-07-13,P1,B,0.56875,2.7244603e-05
16,2022-07-15,P1,B,0.50617284,2.0720365e-05
17,2022-07-16,P1,B,0.7222222,2.0989124e-05
18,2022-07-17,P1,B,0.6196319,2.2794913e-05
19,2022-07-18,P1,B,0.6585366,2.4533725e-05
20,2022-07-19,P1,B,0.58787876,1.9124134e-05
21,2022-07-21,P1,B,0.55421686,2.5360352e-05
22,2022-07-22,P1,B,0.5269461,2.6920172e-05
23,2022-07-23,P1,B,0.57738096,3.1214335e-05
24,2022-07-24,P1,B,0.5147929,3.4847195e-05
25,2022-07-25,P1,B,0.59411764,3.6736936e-05
26,2022-07-26,P1,B,0.5176471,2.711341e-05
27,2022-07-29,P1,B,0.5813953,2.5429523e-05
28,2022-07-30,P1,B,0.5202312,2.264771e-05
29,2022-07-31,P1,B,0.46551725,2.0712363e-05
30,2022-08-01,P1,B,0.52873564,3.1534404e-05
31,2022-08-02,P1,B,0.6551724,3.1756732e-05
32,2022-08-05,P1,B,0.5574713,1.654535e-05
33,2022-08-06,P1,B,0.5574713,1.6720864e-05
34,2022-08-07,P1,B,0.5689655,1.773665e-05
35,2022-08-08,P1,B,0.57471263,1.7605718e-05
36,2022-08-09,P1,B,0.545977,1.6366084e-05
37,2022-08-10,P1,B,0.4827586,1.4952959e-05
38,2022-08-11,P1,B,0.62068963,1.920171e-05
39,2022-08-12,P1,B,0.7183908,2.0261901e-05
40,2022-08-13,P1,B,0.62643677,2.1085341e-05
41,2022-08-14,P1,B,0.62643677,2.2469278e-05
42,2022-08-15,P1,B,0.52873564,1.9596724e-05
43,2022-08-16,P1,B,0.5689655,2.3921539e-05
44,2022-08-17,P1,B,0.52873564,2.3571147e-05
45,2022-08-18,P1,B,0.62643677,3.376302e-05
46,2022-08-19,P1,B,0.7183908,1.9343235e-05
47,2022-08-20,P1,B,0.7183908,2.2020513e-05
48,2022-08-21,P1,B,0.6436782,1.8554278e-05
49,2022-08-22,P1,B,0.6034483,1.8324688e-05
