,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.2413793,5.5124852e-05
1,2022-06-29,P1,A,0.24657534,5.938192e-05
2,2022-06-30,P1,A,0.19333333,4.667221e-05
3,2022-07-01,P1,A,0.22516556,4.6704874e-05
4,2022-07-02,P1,A,0.25827813,7.856186e-05
5,2022-07-03,P1,A,0.19078948,4.595967e-05
6,2022-07-04,P1,A,0.19607843,4.585608e-05
7,2022-07-05,P1,A,0.25490198,7.235229e-05
8,2022-07-06,P1,A,0.25974026,6.7112494e-05
9,2022-07-07,P1,A,0.21935484,5.572259e-05
10,2022-07-08,P1,A,0.21153846,4.8021036e-05
11,2022-07-09,P1,A,0.21153846,5.5845998e-05
12,2022-07-10,P1,A,0.2278481,4.9829287e-05
13,2022-07-11,P1,A,0.24050634,5.99733e-05
14,2022-07-12,P1,A,0.21383648,5.24551e-05
15,2022-07-13,P1,A,0.20625,4.9371294e-05
16,2022-07-15,P1,A,0.29012346,7.0327194e-05
17,2022-07-16,P1,A,0.24074075,6.0104747e-05
18,2022-07-17,P1,A,0.20858896,5.3397507e-05
19,2022-07-18,P1,A,0.18902439,4.3937867e-05
20,2022-07-19,P1,A,0.16969697,3.8079757e-05
21,2022-07-21,P1,A,0.27710843,6.0900307e-05
22,2022-07-22,P1,A,0.23353294,6.0256192e-05
23,2022-07-23,P1,A,0.22619048,6.0949842e-05
24,2022-07-24,P1,A,0.25443786,6.963488e-05
25,2022-07-25,P1,A,0.21176471,6.916681e-05
26,2022-07-26,P1,A,0.1764706,4.0132145e-05
27,2022-07-29,P1,A,0.21511628,5.018463e-05
28,2022-07-30,P1,A,0.23121387,6.552674e-05
29,2022-07-31,P1,A,0.16666667,4.1237286e-05
30,2022-08-01,P1,A,0.16091955,5.21248e-05
31,2022-08-02,P1,A,0.22988506,6.922344e-05
32,2022-08-05,P1,A,0.21839081,5.2367413e-05
33,2022-08-06,P1,A,0.24712643,6.628895e-05
34,2022-08-07,P1,A,0.2816092,0.000106187166
35,2022-08-08,P1,A,0.22413793,6.8412475e-05
36,2022-08-09,P1,A,0.21264368,6.16313e-05
37,2022-08-10,P1,A,0.23563218,7.4242205e-05
38,2022-08-11,P1,A,0.23563218,6.0137943e-05
39,2022-08-12,P1,A,0.23563218,5.6103116e-05
40,2022-08-13,P1,A,0.20689656,5.168944e-05
41,2022-08-14,P1,A,0.20689656,3.876002e-05
42,2022-08-15,P1,A,0.20689656,4.80816e-05
43,2022-08-16,P1,A,0.21839081,5.830713e-05
44,2022-08-17,P1,A,0.21264368,4.944981e-05
45,2022-08-18,P1,A,0.25287357,6.276468e-05
46,2022-08-19,P1,A,0.24712643,5.0457023e-05
47,2022-08-20,P1,A,0.29310346,5.6434394e-05
48,2022-08-21,P1,A,0.2816092,4.8060378e-05
49,2022-08-22,P1,A,0.26436782,5.620669e-05
50,2022-08-23,P1,A,0.28735632,5.9046164e-05
51,2022-08-24,P1,A,0.26436782,6.4067026e-05
52,2022-08-25,P1,A,0.26436782,5.3555996e-05
53,2022-08-26,P1,A,0.23563218,5.492046e-05
54,2022-08-27,P1,A,0.25287357,5.6611352e-05
55,2022-08-28,P1,A,0.25862068,5.975591e-05
56,2022-08-29,P1,A,0.25862068,5.6184002e-05
57,2022-08-30,P1,A,0.25287357,4.915204e-05
58,2022-08-31,P1,A,0.29310346,6.373654e-05
59,2022-09-01,P1,A,0.2413793,4.0229814e-05
60,2022-09-02,P1,A,0.27011493,5.299848e-05
61,2022-09-03,P1,A,0.29310346,6.075413e-05
62,2022-09-04,P1,A,0.23563218,4.5915112e-05
63,2022-09-05,P1,A,0.25862068,5.064266e-05
64,2022-09-06,P1,A,0.29885057,5.9510952e-05
65,2022-09-07,P1,A,0.31609195,6.997367e-05
66,2022-09-08,P1,A,0.31034482,5.279895e-05
67,2022-09-09,P1,A,0.27586207,5.615546e-05
68,2022-09-12,P1,A,0.22988506,4.528193e-05
0,2022-06-28,P9,A,0.06687898,1.3656491e-05
1,2022-06-29,P9,A,0.050955415,1.21485755e-05
2,2022-06-30,P9,A,0.060509555,9.99706e-06
3,2022-07-01,P9,A,0.0589172,9.321879e-06
4,2022-07-02,P9,A,0.060509555,9.921865e-06
5,2022-07-03,P9,A,0.055732485,8.38984e-06
6,2022-07-04,P9,A,0.0589172,6.7536607e-06
7,2022-07-05,P9,A,0.07165605,5.4445504e-06
8,2022-07-06,P9,A,0.06528662,6.7481456e-06
9,2022-07-07,P9,A,0.070063695,7.979399e-06
10,2022-07-08,P9,A,0.050955415,7.2343287e-06
11,2022-07-09,P9,A,0.05254777,3.1076058e-06
12,2022-07-10,P9,A,0.044585988,3.3054646e-06
13,2022-07-11,P9,A,0.055732485,7.1410095e-06
14,2022-07-12,P9,A,0.060509555,5.796515e-06
15,2022-07-13,P9,A,0.05732484,3.4335233e-06
16,2022-07-15,P9,A,0.0477707,6.92688e-06
17,2022-07-16,P9,A,0.05732484,3.149418e-06
18,2022-07-17,P9,A,0.06369427,5.9976865e-06
19,2022-07-18,P9,A,0.060509555,6.0999905e-06
20,2022-07-19,P9,A,0.03343949,2.9387993e-06
21,2022-07-21,P9,A,0.06528662,1.02546055e-05
22,2022-07-22,P9,A,0.03821656,4.9023724e-06
23,2022-07-23,P9,A,0.044585988,7.618232e-06
24,2022-07-24,P9,A,0.050955415,1.1662259e-05
25,2022-07-25,P9,A,0.041401275,6.3985126e-06
26,2022-07-26,P9,A,0.041401275,8.710314e-06
27,2022-07-29,P9,A,0.06827309,1.4194571e-05
28,2022-07-30,P9,A,0.078313254,1.4411784e-05
29,2022-07-31,P9,A,0.064257026,1.1245998e-05
30,2022-08-01,P9,A,0.060240965,1.0399422e-05
31,2022-08-02,P9,A,0.06511628,1.0994022e-05
32,2022-08-05,P9,A,0.10232558,1.3978883e-05
33,2022-08-06,P9,A,0.069767445,1.0203593e-05
34,2022-08-07,P9,A,0.072093025,1.3922287e-05
35,2022-08-08,P9,A,0.06511628,6.419278e-06
36,2022-08-09,P9,A,0.08510638,1.6801085e-05
37,2022-08-10,P9,A,0.11170213,2.1413234e-05
38,2022-08-11,P9,A,0.119873814,2.5860705e-05
39,2022-08-12,P9,A,0.07886435,1.2340752e-05
40,2022-08-13,P9,A,0.14478114,2.1689671e-05
41,2022-08-14,P9,A,0.08417509,1.0584101e-05
42,2022-08-15,P9,A,0.107744105,1.5117384e-05
43,2022-08-16,P9,A,0.104377106,1.7507997e-05
44,2022-08-17,P9,A,0.11447811,1.6179205e-05
45,2022-08-18,P9,A,0.14478114,2.98278e-05
46,2022-08-19,P9,A,0.19784173,3.7482256e-05
47,2022-08-20,P9,A,0.17985612,3.4924964e-05
48,2022-08-21,P9,A,0.16546762,3.1883133e-05
49,2022-08-22,P9,A,0.2266187,3.5991878e-05
50,2022-08-23,P9,A,0.24820144,4.8448004e-05
51,2022-08-24,P9,A,0.23381294,3.59052e-05
52,2022-08-25,P9,A,0.2086331,4.4844946e-05
53,2022-08-26,P9,A,0.16803278,3.6205656e-05
54,2022-08-27,P9,A,0.18442623,4.3839264e-05
55,2022-08-28,P9,A,0.19672132,4.2369258e-05
56,2022-08-29,P9,A,0.17213115,3.6331974e-05
57,2022-08-30,P9,A,0.24590164,4.534709e-05
58,2022-08-31,P9,A,0.22540984,5.1236784e-05
59,2022-09-01,P9,A,0.22131148,4.4075026e-05
60,2022-09-02,P9,A,0.18852459,3.43554e-05
61,2022-09-03,P9,A,0.16393442,3.4884957e-05
62,2022-09-04,P9,A,0.23360656,4.3820266e-05
63,2022-09-05,P9,A,0.20081967,3.6620695e-05
64,2022-09-06,P9,A,0.14344262,2.716341e-05
65,2022-09-07,P9,A,0.19672132,3.9125407e-05
66,2022-09-08,P9,A,0.24590164,4.5049743e-05
67,2022-09-09,P9,A,0.21721311,4.1571795e-05
68,2022-09-12,P9,A,0.17213115,5.272062e-06
0,2022-06-28,P8,A,0.16898608,3.8334776e-05
1,2022-06-29,P8,A,0.17992048,3.9889776e-05
2,2022-06-30,P8,A,0.17693837,2.6440297e-05
3,2022-07-01,P8,A,0.19085488,3.2764547e-05
4,2022-07-02,P8,A,0.16500995,3.10598e-05
5,2022-07-03,P8,A,0.15109344,2.5129879e-05
6,2022-07-04,P8,A,0.1749503,2.3035327e-05
7,2022-07-05,P8,A,0.16699801,2.2602231e-05
8,2022-07-06,P8,A,0.16998012,2.0461055e-05
9,2022-07-07,P8,A,0.19284295,2.2875729e-05
10,2022-07-08,P8,A,0.16202784,2.3511799e-05
11,2022-07-09,P8,A,0.15904573,2.3811037e-05
12,2022-07-10,P8,A,0.14811133,2.1275413e-05
13,2022-07-11,P8,A,0.16898608,2.3178376e-05
14,2022-07-12,P8,A,0.14811133,1.9864829e-05
15,2022-07-13,P8,A,0.15606362,2.1506625e-05
16,2022-07-15,P8,A,0.1361829,1.9741274e-05
17,2022-07-16,P8,A,0.13817097,1.7983275e-05
18,2022-07-17,P8,A,0.16799204,2.1109898e-05
19,2022-07-18,P8,A,0.14115308,1.8094277e-05
20,2022-07-19,P8,A,0.15208748,1.8412284e-05
21,2022-07-21,P8,A,0.15109573,2.425473e-05
22,2022-07-22,P8,A,0.15686275,2.8202714e-05
23,2022-07-23,P8,A,0.14417532,2.1915524e-05
24,2022-07-24,P8,A,0.16262975,2.9510587e-05
