,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.48965517,4.2051855e-05
1,2022-06-29,P1,A,0.41095892,3.5552508e-05
2,2022-06-30,P1,A,0.54,4.869087e-05
3,2022-07-01,P1,A,0.58278143,5.7335892e-05
4,2022-07-02,P1,A,0.5562914,5.7473306e-05
5,2022-07-03,P1,A,0.48026314,4.2306863e-05
6,2022-07-04,P1,A,0.49673203,4.987405e-05
7,2022-07-05,P1,A,0.5424837,5.6997615e-05
8,2022-07-06,P1,A,0.6168831,5.8594025e-05
9,2022-07-07,P1,A,0.5032258,4.664137e-05
10,2022-07-08,P1,A,0.53205127,5.2145737e-05
11,2022-07-09,P1,A,0.53205127,5.3753338e-05
12,2022-07-10,P1,A,0.62658226,6.518723e-05
13,2022-07-11,P1,A,0.62025315,7.194636e-05
14,2022-07-12,P1,A,0.509434,5.3485393e-05
15,2022-07-13,P1,A,0.50625,5.1234074e-05
16,2022-07-15,P1,A,0.5308642,5.947712e-05
17,2022-07-16,P1,A,0.50617284,5.075601e-05
18,2022-07-17,P1,A,0.4969325,4.9659477e-05
19,2022-07-18,P1,A,0.66463417,6.511658e-05
20,2022-07-19,P1,A,0.4848485,4.702862e-05
21,2022-07-21,P1,A,0.5120482,5.092247e-05
22,2022-07-22,P1,A,0.56287426,5.4725857e-05
23,2022-07-23,P1,A,0.6845238,7.0383634e-05
24,2022-07-24,P1,A,0.52662724,5.3362004e-05
25,2022-07-25,P1,A,0.5647059,5.7923717e-05
26,2022-07-26,P1,A,0.5470588,5.626515e-05
27,2022-07-29,P1,A,0.622093,6.881111e-05
28,2022-07-30,P1,A,0.5202312,5.4369822e-05
29,2022-07-31,P1,A,0.37931034,4.2632055e-05
30,2022-08-01,P1,A,0.47126436,5.116728e-05
31,2022-08-02,P1,A,0.5574713,5.925227e-05
32,2022-08-05,P1,A,0.54022986,5.3333948e-05
33,2022-08-06,P1,A,0.61494255,6.0720395e-05
34,2022-08-07,P1,A,0.6954023,7.230485e-05
35,2022-08-08,P1,A,0.61494255,6.1904626e-05
36,2022-08-09,P1,A,0.57471263,5.7785717e-05
37,2022-08-10,P1,A,0.51724136,5.300183e-05
38,2022-08-11,P1,A,0.5804598,5.3016167e-05
39,2022-08-12,P1,A,0.545977,5.0276263e-05
40,2022-08-13,P1,A,0.6091954,5.2643598e-05
41,2022-08-14,P1,A,0.52873564,6.045349e-05
42,2022-08-15,P1,A,0.5114943,6.03949e-05
43,2022-08-16,P1,A,0.4827586,5.2215968e-05
44,2022-08-17,P1,A,0.5862069,6.833311e-05
45,2022-08-18,P1,A,0.5229885,5.739258e-05
46,2022-08-19,P1,A,0.5862069,5.142954e-05
47,2022-08-20,P1,A,0.67241377,6.23305e-05
48,2022-08-21,P1,A,0.7011494,6.502517e-05
49,2022-08-22,P1,A,0.59770113,5.773443e-05
50,2022-08-23,P1,A,0.61494255,4.574176e-05
51,2022-08-24,P1,A,0.70689654,5.361389e-05
52,2022-08-25,P1,A,0.6321839,5.0501643e-05
53,2022-08-26,P1,A,0.50574714,5.2092946e-05
54,2022-08-27,P1,A,0.5862069,5.9378643e-05
55,2022-08-28,P1,A,0.43678162,4.557456e-05
56,2022-08-29,P1,A,0.5229885,5.266205e-05
57,2022-08-30,P1,A,0.51724136,5.1347975e-05
58,2022-08-31,P1,A,0.4770115,4.38543e-05
59,2022-09-01,P1,A,0.66091955,6.3029394e-05
60,2022-09-02,P1,A,0.44827586,4.327394e-05
61,2022-09-03,P1,A,0.545977,5.1979197e-05
62,2022-09-04,P1,A,0.5862069,5.773344e-05
63,2022-09-05,P1,A,0.5574713,5.3822143e-05
64,2022-09-06,P1,A,0.48850575,4.7955633e-05
65,2022-09-07,P1,A,0.49425286,4.475295e-05
66,2022-09-08,P1,A,0.47126436,4.118021e-05
67,2022-09-09,P1,A,0.55172414,4.800403e-05
68,2022-09-12,P1,A,0.5689655,5.0436163e-05
0,2022-06-28,P9,B,0.14171974,7.515032e-06
1,2022-06-29,P9,B,0.15127389,7.5674448e-06
2,2022-06-30,P9,B,0.13057324,6.3333255e-06
3,2022-07-01,P9,B,0.11305732,6.009717e-06
4,2022-07-02,P9,B,0.1433121,8.495794e-06
5,2022-07-03,P9,B,0.13216561,7.0328088e-06
6,2022-07-04,P9,B,0.14171974,7.728209e-06
7,2022-07-05,P9,B,0.15286624,8.733696e-06
8,2022-07-06,P9,B,0.1178344,6.824876e-06
9,2022-07-07,P9,B,0.15286624,8.8862525e-06
10,2022-07-08,P9,B,0.14012739,8.476745e-06
11,2022-07-09,P9,B,0.13057324,8.423667e-06
12,2022-07-10,P9,B,0.12579618,7.5544385e-06
13,2022-07-11,P9,B,0.13057324,8.063158e-06
14,2022-07-12,P9,B,0.13535032,8.544158e-06
15,2022-07-13,P9,B,0.13375796,8.657686e-06
16,2022-07-15,P9,B,0.1656051,8.869541e-06
17,2022-07-16,P9,B,0.1433121,7.468483e-06
18,2022-07-17,P9,B,0.116242036,6.06409e-06
19,2022-07-18,P9,B,0.14490446,7.5795556e-06
20,2022-07-19,P9,B,0.13057324,7.0897277e-06
21,2022-07-21,P9,B,0.12420382,6.3963325e-06
22,2022-07-22,P9,B,0.11146497,5.2147993e-06
23,2022-07-23,P9,B,0.12738854,6.4380515e-06
24,2022-07-24,P9,B,0.12101911,6.012056e-06
25,2022-07-25,P9,B,0.087579615,4.3127484e-06
26,2022-07-26,P9,B,0.12579618,7.0130473e-06
27,2022-07-29,P9,B,0.19879518,1.1207406e-05
28,2022-07-30,P9,B,0.20883535,1.24354265e-05
29,2022-07-31,P9,B,0.16064256,9.418048e-06
30,2022-08-01,P9,B,0.13855422,8.5852425e-06
31,2022-08-02,P9,B,0.20930232,1.0741618e-05
32,2022-08-05,P9,B,0.23953488,1.1119981e-05
33,2022-08-06,P9,B,0.18372093,8.056136e-06
34,2022-08-07,P9,B,0.1744186,1.0012018e-05
35,2022-08-08,P9,B,0.18604651,1.0498452e-05
36,2022-08-09,P9,B,0.23404256,1.5543941e-05
37,2022-08-10,P9,B,0.26595744,1.806338e-05
38,2022-08-11,P9,B,0.30599368,2.1123797e-05
39,2022-08-12,P9,B,0.2807571,1.6545344e-05
40,2022-08-13,P9,B,0.32323232,1.7528642e-05
41,2022-08-14,P9,B,0.27272728,1.5618985e-05
42,2022-08-15,P9,B,0.24242425,1.35500795e-05
43,2022-08-16,P9,B,0.34006733,2.033271e-05
44,2022-08-17,P9,B,0.33333334,1.9932853e-05
45,2022-08-18,P9,B,0.35016835,1.8769264e-05
46,2022-08-19,P9,B,0.37769786,1.9006493e-05
47,2022-08-20,P9,B,0.4676259,2.5118115e-05
48,2022-08-21,P9,B,0.5503597,2.9106968e-05
49,2022-08-22,P9,B,0.52517986,2.793594e-05
50,2022-08-23,P9,B,0.52517986,2.5432195e-05
51,2022-08-24,P9,B,0.5143885,2.499853e-05
52,2022-08-25,P9,B,0.52517986,2.4957237e-05
53,2022-08-26,P9,B,0.4057377,2.7108616e-05
54,2022-08-27,P9,B,0.31967214,2.1859001e-05
55,2022-08-28,P9,B,0.40983605,2.9600202e-05
56,2022-08-29,P9,B,0.3442623,2.3463814e-05
57,2022-08-30,P9,B,0.32786885,2.249279e-05
58,2022-08-31,P9,B,0.37295082,2.654354e-05
59,2022-09-01,P9,B,0.40163934,2.8884826e-05
60,2022-09-02,P9,B,0.32786885,2.1792555e-05
61,2022-09-03,P9,B,0.32786885,2.3825301e-05
62,2022-09-04,P9,B,0.41393444,3.024268e-05
63,2022-09-05,P9,B,0.44262296,3.2188786e-05
64,2022-09-06,P9,B,0.42213115,2.6257434e-05
65,2022-09-07,P9,B,0.37704918,2.0955053e-05
66,2022-09-08,P9,B,0.3647541,2.080301e-05
67,2022-09-09,P9,B,0.3852459,2.1540762e-05
68,2022-09-12,P9,B,0.35655737,1.1483336e-05
0,2022-06-28,P8,B,0.43737575,2.2907463e-05
1,2022-06-29,P8,B,0.39065605,2.0753023e-05
2,2022-06-30,P8,B,0.38469183,1.9632324e-05
3,2022-07-01,P8,B,0.37574553,1.9626033e-05
4,2022-07-02,P8,B,0.41252485,2.385177e-05
5,2022-07-03,P8,B,0.42942345,2.3963747e-05
6,2022-07-04,P8,B,0.45725647,2.6520356e-05
7,2022-07-05,P8,B,0.43836978,2.3383462e-05
8,2022-07-06,P8,B,0.41351888,2.5159892e-05
9,2022-07-07,P8,B,0.42544731,2.6037384e-05
10,2022-07-08,P8,B,0.4085487,2.4224099e-05
11,2022-07-09,P8,B,0.44930416,2.8893333e-05
12,2022-07-10,P8,B,0.37077534,1.9540186e-05
13,2022-07-11,P8,B,0.43538767,2.1680113e-05
14,2022-07-12,P8,B,0.3916501,2.2908886e-05
15,2022-07-13,P8,B,0.38170975,2.4382469e-05
16,2022-07-15,P8,B,0.3807157,2.2501783e-05
17,2022-07-16,P8,B,0.360835,1.8984203e-05
18,2022-07-17,P8,B,0.38270378,2.0682752e-05
19,2022-07-18,P8,B,0.4005964,2.116258e-05
20,2022-07-19,P8,B,0.36978132,1.855468e-05
21,2022-07-21,P8,B,0.42675894,2.3160583e-05
22,2022-07-22,P8,B,0.43252596,2.3951765e-05
23,2022-07-23,P8,B,0.37485582,1.8815308e-05
24,2022-07-24,P8,B,0.38985005,1.9954252e-05
25,2022-07-25,P8,B,0.42906573,2.1593987e-05
26,2022-07-26,P8,B,0.4140715,2.1554852e-05
27,2022-07-29,P8,B,0.41637832,2.4058054e-05
28,2022-07-30,P8,B,0.34486735,2.0546662e-05
29,2022-07-31,P8,B,0.32641292,2.081719e-05
30,2022-08-01,P8,B,0.34602076,2.2689988e-05
31,2022-08-02,P8,B,0.3612079,2.0305186e-05
32,2022-08-05,P8,B,0.40430623,2.1130993e-05
33,2022-08-06,P8,B,0.36004785,1.8565372e-05
34,2022-08-07,P8,B,0.3277512,1.9909567e-05
35,2022-08-08,P8,B,0.33851674,1.9441652e-05
36,2022-08-09,P8,B,0.2973301,1.9059318e-05
37,2022-08-10,P8,B,0.34355828,2.3217837e-05
38,2022-08-11,P8,B,0.438646,2.9350016e-05
39,2022-08-12,P8,B,0.43018335,2.5112064e-05
