,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.39310345,4.1016767e-05
1,2022-06-29,P1,A,0.4041096,3.87451e-05
2,2022-06-30,P1,A,0.32666665,3.2700707e-05
3,2022-07-01,P1,A,0.37748346,5.0032788e-05
4,2022-07-02,P1,A,0.397351,6.4042404e-05
5,2022-07-03,P1,A,0.44078946,8.073506e-05
6,2022-07-04,P1,A,0.38562092,4.8807902e-05
7,2022-07-05,P1,A,0.5816994,8.855924e-05
8,2022-07-06,P1,A,0.35064936,4.5874796e-05
9,2022-07-07,P1,A,0.47741935,2.3923882e-05
10,2022-07-08,P1,A,0.44230768,3.75047e-05
11,2022-07-09,P1,A,0.42948717,3.768245e-05
12,2022-07-10,P1,A,0.5063291,4.6803834e-05
13,2022-07-11,P1,A,0.48734176,4.441316e-05
14,2022-07-12,P1,A,0.4591195,3.882032e-05
15,2022-07-13,P1,A,0.48125,3.3729753e-05
16,2022-07-15,P1,A,0.48765433,3.560766e-05
17,2022-07-16,P1,A,0.48765433,3.3200635e-05
18,2022-07-17,P1,A,0.47239265,3.5716945e-05
19,2022-07-18,P1,A,0.44512194,3.6208177e-05
20,2022-07-19,P1,A,0.56363636,4.1241023e-05
21,2022-07-21,P1,A,0.3554217,3.3540146e-05
22,2022-07-22,P1,A,0.4491018,3.1029438e-05
23,2022-07-23,P1,A,0.43452382,2.5937497e-05
24,2022-07-24,P1,A,0.47928995,3.0197622e-05
25,2022-07-25,P1,A,0.49411765,3.1386448e-05
26,2022-07-26,P1,A,0.47058824,3.367898e-05
27,2022-07-29,P1,A,0.44186047,3.4415738e-05
28,2022-07-30,P1,A,0.46242774,3.5095873e-05
29,2022-07-31,P1,A,0.44252872,3.1934866e-05
30,2022-08-01,P1,A,0.5,3.665244e-05
31,2022-08-02,P1,A,0.43678162,3.2419925e-05
32,2022-08-05,P1,A,0.5574713,2.8454646e-05
33,2022-08-06,P1,A,0.5632184,2.9573222e-05
34,2022-08-07,P1,A,0.54022986,2.226419e-05
35,2022-08-08,P1,A,0.50574714,1.36724375e-05
36,2022-08-09,P1,A,0.48850575,1.6716773e-05
37,2022-08-10,P1,A,0.46551725,2.5115029e-05
38,2022-08-11,P1,A,0.4827586,2.6932654e-05
39,2022-08-12,P1,A,0.545977,3.9971754e-05
40,2022-08-13,P1,A,0.50574714,5.6484438e-05
