,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.5448276,4.954895e-05
1,2022-06-29,P1,A,0.51369864,4.3924396e-05
2,2022-06-30,P1,A,0.40666667,3.5007528e-05
3,2022-07-01,P1,A,0.47682118,4.1056373e-05
4,2022-07-02,P1,A,0.53642386,4.88034e-05
5,2022-07-03,P1,A,0.57894737,5.4955286e-05
6,2022-07-04,P1,A,0.5424837,4.965748e-05
7,2022-07-05,P1,A,0.5294118,5.188246e-05
8,2022-07-06,P1,A,0.5779221,4.595768e-05
9,2022-07-07,P1,A,0.60645163,4.539607e-05
10,2022-07-08,P1,A,0.5,4.3425585e-05
11,2022-07-09,P1,A,0.53205127,4.5849592e-05
12,2022-07-10,P1,A,0.5506329,4.7371286e-05
13,2022-07-11,P1,A,0.5886076,4.8263937e-05
14,2022-07-12,P1,A,0.5660377,4.105394e-05
15,2022-07-13,P1,A,0.60625,4.1926516e-05
16,2022-07-15,P1,A,0.537037,4.2578933e-05
17,2022-07-16,P1,A,0.58641976,4.6031375e-05
18,2022-07-17,P1,A,0.65030676,4.9877875e-05
19,2022-07-18,P1,A,0.55487806,4.656559e-05
20,2022-07-19,P1,A,0.6969697,5.428411e-05
21,2022-07-21,P1,A,0.7108434,5.6771245e-05
22,2022-07-22,P1,A,0.5808383,4.503989e-05
23,2022-07-23,P1,A,0.5833333,4.5205117e-05
24,2022-07-24,P1,A,0.5029586,4.023385e-05
25,2022-07-25,P1,A,0.57058823,4.769145e-05
26,2022-07-26,P1,A,0.7352941,6.09065e-05
27,2022-07-29,P1,A,0.5290698,5.2684813e-05
28,2022-07-30,P1,A,0.53757226,5.3749354e-05
29,2022-07-31,P1,A,0.5344828,5.6627636e-05
30,2022-08-01,P1,A,0.48850575,5.005636e-05
31,2022-08-02,P1,A,0.545977,5.1611118e-05
32,2022-08-05,P1,A,0.6666667,5.3678068e-05
33,2022-08-06,P1,A,0.5344828,4.3789514e-05
34,2022-08-07,P1,A,0.62643677,5.0724495e-05
35,2022-08-08,P1,A,0.5632184,4.4130025e-05
36,2022-08-09,P1,A,0.6551724,5.167078e-05
37,2022-08-10,P1,A,0.55172414,4.809231e-05
38,2022-08-11,P1,A,0.68390805,5.592613e-05
39,2022-08-12,P1,A,0.5229885,4.3445056e-05
40,2022-08-13,P1,A,0.5114943,4.0872765e-05
41,2022-08-14,P1,A,0.50574714,4.405393e-05
42,2022-08-15,P1,A,0.52873564,4.3596567e-05
43,2022-08-16,P1,A,0.5574713,4.7494203e-05
44,2022-08-17,P1,A,0.49425286,4.1875544e-05
45,2022-08-18,P1,A,0.63793105,4.9911865e-05
46,2022-08-19,P1,A,0.79310346,5.2849453e-05
