,date,gateway,chain,relays,relays_norm
43,2022-06-28,eu-central-1,0049,2729889,0.06032434870588404
41,2022-06-28,ap-southeast-1,0049,12734013,0.28139277481145225
40,2022-06-28,ap-northeast-2,0049,2235324,0.0493955851123
39,2022-06-28,ap-east-1,0049,2635559,0.05823986988149739
38,2022-06-28,us-west-2,0004,1880676,0.034153210931302594
42,2022-06-28,ca-central-1,0049,1021412,0.022570886091110087
36,2022-06-28,us-east-1,0004,2029316,0.03685252398300784
27,2022-06-28,ap-northeast-2,0004,3670863,0.06666313513806431
37,2022-06-28,us-east-2,0004,431411,0.007834454675384905
29,2022-06-28,ca-central-1,0004,353864,0.006426195598281927
30,2022-06-28,eu-central-1,0004,17352242,0.3151179582006725
31,2022-06-28,eu-north-1,0004,5268330,0.09567325033429967
28,2022-06-28,ap-southeast-1,0004,7873918,0.14299091513359038
33,2022-06-28,eu-west-1,0004,587593,0.010670730987558136
34,2022-06-28,eu-west-2,0004,4392793,0.07977343567235903
35,2022-06-28,eu-west-3,0004,1573002,0.02856582904304667
32,2022-06-28,eu-south-1,0004,5785041,0.10505675912237604
171,2022-06-29,ap-southeast-1,0027,77305614,0.7164112305513689
180,2022-06-29,us-east-2,0027,4021516,0.037268434686283186
179,2022-06-29,us-east-1,0027,717641,0.006650565790786099
178,2022-06-29,eu-west-3,0027,1063867,0.009859132179106594
177,2022-06-29,eu-west-2,0027,272250,0.0025230115566718114
176,2022-06-29,eu-west-1,0027,7446,6.900401855272106e-05
175,2022-06-29,eu-south-1,0027,376807,0.003491968468814822
174,2022-06-29,eu-north-1,0027,695440,0.006444823349758841
173,2022-06-29,eu-central-1,0027,2316249,0.021465281892119475
172,2022-06-29,ca-central-1,0027,63265,0.0005862932089360593
170,2022-06-29,ap-northeast-2,0027,14485285,0.13423890342216654
158,2022-06-29,ap-southeast-1,0021,12602400,0.23889556637019813
168,2022-06-29,us-west-2,0021,2725788,0.051671004575722844
167,2022-06-29,us-east-2,0021,4038667,0.07655840477572756
166,2022-06-29,us-east-1,0021,5965535,0.11308479833414586
165,2022-06-29,eu-west-3,0021,1355041,0.02568663803321904
164,2022-06-29,eu-west-2,0021,1853392,0.03513355642940982
163,2022-06-29,eu-west-1,0021,240384,0.004556804404425642
162,2022-06-29,eu-south-1,0021,928276,0.01759672925536898
161,2022-06-29,eu-north-1,0021,5846021,0.1108192485405218
160,2022-06-29,eu-central-1,0021,6343553,0.12025064168208988
159,2022-06-29,ca-central-1,0021,1173161,0.02223885621297753
181,2022-06-29,us-west-2,0027,559093,0.005181260239685264
169,2022-06-29,ap-east-1,0027,5986089,0.055474643622648326
182,2022-06-29,ap-east-1,03DF,2443,0.0005408792220903665
207,2022-06-29,us-west-2,0005,85432,0.0031686900545852778
184,2022-06-29,ap-southeast-1,03DF,57936,0.012827007208770967
157,2022-06-29,ap-northeast-2,0021,1162576,0.02203820319688309
206,2022-06-29,us-east-2,0005,198315,0.007355543217706238
205,2022-06-29,us-east-1,0005,2201656,0.08165986364381034
204,2022-06-29,eu-west-3,0005,457420,0.0169657997561616
203,2022-06-29,eu-west-2,0005,611521,0.022681436825428922
202,2022-06-29,eu-west-1,0005,14694,0.000545003413967554
201,2022-06-29,eu-south-1,0005,232031,0.008606076435708829
200,2022-06-29,eu-north-1,0005,60881,0.0022580885290430556
199,2022-06-29,eu-central-1,0005,19530482,0.7243895036363047
198,2022-06-29,ca-central-1,0005,370014,0.013723893644738704
197,2022-06-29,ap-southeast-1,0005,1567606,0.058142821679326356
196,2022-06-29,ap-northeast-2,0005,40405,0.0014986295727071608
195,2022-06-29,ap-east-1,0005,730539,0.0270958383718826
194,2022-06-29,us-west-2,03DF,825272,0.18271489045147807
193,2022-06-29,us-east-2,03DF,388764,0.08607219398147328
192,2022-06-29,us-east-1,03DF,178867,0.03960108220124338
191,2022-06-29,eu-west-3,03DF,11317,0.00250557926991268
190,2022-06-29,eu-west-2,03DF,13456,0.0029791530136913514
189,2022-06-29,eu-west-1,03DF,19019,0.004210798986875432
188,2022-06-29,eu-south-1,03DF,8567,0.0018967303707114898
187,2022-06-29,eu-north-1,03DF,17513,0.003877371189712889
186,2022-06-29,eu-central-1,03DF,2277503,0.5042382525372394
185,2022-06-29,ca-central-1,03DF,10337,0.0022886076621973467
183,2022-06-29,ap-northeast-2,03DF,60846,0.013471280043925681
