,date,chain,provider,total_relays,nodes_staked,total_sessions
163,2022-06-29,0021,P4,3005511,2845,1066
162,2022-06-29,0021,P13,306300,245,91
161,2022-06-29,0021,P12,2225351,1603,664
160,2022-06-29,0021,P11,351742,218,93
159,2022-06-29,0021,P7,166332,101,43
181,2022-06-29,0027,P14,4416911,949,492
169,2022-06-29,0027,P1,537294,146,68
182,2022-06-29,03DF,P1,35293,146,28
207,2022-06-29,0005,P14,1452713,949,211
184,2022-06-29,03DF,P6,0,0,0
157,2022-06-29,0021,P2,433423,255,94
206,2022-06-29,0005,P10,578997,435,92
205,2022-06-29,0005,P9,205696,628,32
204,2022-06-29,0005,P8,1081933,1006,181
203,2022-06-29,0005,P5,0,0,0
202,2022-06-29,0005,P4,1945947,2845,569
201,2022-06-29,0005,P13,197227,245,39
200,2022-06-29,0005,P12,2065521,1603,357
199,2022-06-29,0005,P11,129278,218,38
198,2022-06-29,0005,P7,83920,101,23
197,2022-06-29,0005,P6,711738,924,194
196,2022-06-29,0005,P2,423679,255,57
195,2022-06-29,0005,P1,233748,146,36
194,2022-06-29,03DF,P14,331091,949,230
193,2022-06-29,03DF,P10,12036,94,14
192,2022-06-29,03DF,P9,0,0,0
191,2022-06-29,03DF,P8,0,0,0
190,2022-06-29,03DF,P5,4040,2235,40
189,2022-06-29,03DF,P4,295950,2833,613
188,2022-06-29,03DF,P13,66027,245,63
187,2022-06-29,03DF,P12,384899,1603,374
186,2022-06-29,03DF,P11,63127,212,46
185,2022-06-29,03DF,P7,0,0,0
183,2022-06-29,03DF,P2,91388,255,62
156,2022-06-29,0021,P1,298411,146,59
129,2022-06-29,0040,P14,12240743,949,484
154,2022-06-29,0049,P10,810598,341,88
126,2022-06-29,0040,P8,5908583,1006,393
125,2022-06-29,0040,P5,43821680,7694,3543
124,2022-06-29,0040,P4,14158279,2845,1244
123,2022-06-29,0040,P13,2097781,245,123
122,2022-06-29,0040,P12,14557729,1603,791
121,2022-06-29,0040,P11,2140227,218,107
120,2022-06-29,0040,P7,1019678,101,43
119,2022-06-29,0040,P6,9214232,924,465
118,2022-06-29,0040,P2,3157339,255,124
116,2022-06-29,0009,P14,9965100,949,483
115,2022-06-29,0009,P10,1830240,437,170
114,2022-06-29,0009,P9,864329,457,70
113,2022-06-29,0009,P8,5400274,986,423
112,2022-06-29,0009,P5,45319379,7693,3639
111,2022-06-29,0009,P4,15646406,2842,1375
110,2022-06-29,0009,P13,1344782,245,114
109,2022-06-29,0009,P12,10269343,1603,849
108,2022-06-29,0009,P11,1794693,217,116
107,2022-06-29,0009,P7,1137469,101,58
106,2022-06-29,0009,P6,7538040,924,445
105,2022-06-29,0009,P2,3077018,255,147
104,2022-06-29,0009,P1,1510866,146,75
155,2022-06-29,0049,P14,2730957,949,276
127,2022-06-29,0040,P9,1344971,628,95
128,2022-06-29,0040,P10,2368398,437,181
117,2022-06-29,0040,P1,1469018,146,60
130,2022-06-29,0004,P1,321779,146,22
152,2022-06-29,0049,P8,667209,524,116
151,2022-06-29,0049,P5,12340478,7690,2080
150,2022-06-29,0049,P4,974498,1879,402
149,2022-06-29,0049,P13,353463,245,75
148,2022-06-29,0049,P12,2370655,1603,480
147,2022-06-29,0049,P11,700165,213,62
146,2022-06-29,0049,P7,389539,101,33
145,2022-06-29,0049,P6,3622756,924,270
144,2022-06-29,0049,P2,991707,255,71
143,2022-06-29,0049,P1,652655,146,55
142,2022-06-29,0004,P14,1937877,949,145
153,2022-06-29,0049,P9,59643,87,5
140,2022-06-29,0004,P9,243680,628,17
141,2022-06-29,0004,P10,0,0,0
132,2022-06-29,0004,P6,2944495,924,165
133,2022-06-29,0004,P7,143947,101,11
134,2022-06-29,0004,P11,526694,215,25
135,2022-06-29,0004,P12,2988453,1603,257
131,2022-06-29,0004,P2,6575,255,35
137,2022-06-29,0004,P4,0,0,0
138,2022-06-29,0004,P5,9890585,7674,1090
139,2022-06-29,0004,P8,1693997,1006,153
136,2022-06-29,0004,P13,379964,245,34
275,2022-06-30,0027,P6,4965280,924,485
283,2022-06-30,0027,P9,231760,628,80
282,2022-06-30,0027,P8,1320882,1006,451
281,2022-06-30,0027,P5,28972272,7694,3630
280,2022-06-30,0027,P4,7838340,2845,1338
279,2022-06-30,0027,P13,20214,245,108
278,2022-06-30,0027,P12,140035,1603,755
284,2022-06-30,0027,P10,25079,341,137
277,2022-06-30,0027,P11,749373,218,90
276,2022-06-30,0027,P7,462128,101,48
274,2022-06-30,0027,P2,631305,255,116
268,2022-06-30,0021,P5,11645626,7694,3088
272,2022-06-30,0021,P14,2084685,949,383
271,2022-06-30,0021,P10,210434,437,130
270,2022-06-30,0021,P9,206050,628,71
269,2022-06-30,0021,P8,1025631,1006,341
267,2022-06-30,0021,P4,3336901,2845,1083
266,2022-06-30,0021,P13,410360,245,117
265,2022-06-30,0021,P12,2370169,1603,640
264,2022-06-30,0021,P11,339251,218,77
263,2022-06-30,0021,P7,201130,101,45
262,2022-06-30,0021,P6,1725341,924,390
285,2022-06-30,0027,P14,3109309,949,489
273,2022-06-30,0027,P1,381866,150,72
286,2022-06-30,03DF,P1,60440,150,25
311,2022-06-30,0005,P14,2154018,949,209
288,2022-06-30,03DF,P6,0,0,0
261,2022-06-30,0021,P2,514198,255,102
310,2022-06-30,0005,P10,712304,435,73
309,2022-06-30,0005,P9,271549,628,38
308,2022-06-30,0005,P8,1150484,1006,178
307,2022-06-30,0005,P5,0,0,0
306,2022-06-30,0005,P4,2609792,2845,578
305,2022-06-30,0005,P13,395224,245,49
304,2022-06-30,0005,P12,2614410,1603,338
303,2022-06-30,0005,P11,178994,218,44
302,2022-06-30,0005,P7,132249,101,27
301,2022-06-30,0005,P6,810703,924,185
300,2022-06-30,0005,P2,646004,255,46
299,2022-06-30,0005,P1,302807,150,29
298,2022-06-30,03DF,P14,328264,949,183
297,2022-06-30,03DF,P10,8514,94,12
296,2022-06-30,03DF,P9,0,0,0
295,2022-06-30,03DF,P8,0,0,0
294,2022-06-30,03DF,P5,38856,2235,480
293,2022-06-30,03DF,P4,267690,2833,566
292,2022-06-30,03DF,P13,56894,245,48
291,2022-06-30,03DF,P12,450037,1603,347
290,2022-06-30,03DF,P11,69380,212,43
289,2022-06-30,03DF,P7,0,0,0
287,2022-06-30,03DF,P2,101338,255,54
260,2022-06-30,0021,P1,288139,150,49
233,2022-06-30,0040,P14,11458375,949,465
258,2022-06-30,0049,P10,557086,341,76
230,2022-06-30,0040,P8,5465648,1006,387
229,2022-06-30,0040,P5,41480892,7694,3594
228,2022-06-30,0040,P4,14858367,2845,1324
227,2022-06-30,0040,P13,1639428,245,97
226,2022-06-30,0040,P12,13848298,1603,781
225,2022-06-30,0040,P11,1704671,218,89
224,2022-06-30,0040,P7,1006296,101,44
223,2022-06-30,0040,P6,8428039,924,435
222,2022-06-30,0040,P2,3194784,255,136
221,2022-06-30,0040,P1,2021207,150,81
231,2022-06-30,0040,P9,1100686,628,82
220,2022-06-30,0009,P14,9036872,949,459
218,2022-06-30,0009,P9,814491,457,69
217,2022-06-30,0009,P8,5810044,986,434
216,2022-06-30,0009,P5,41442967,7693,3786
215,2022-06-30,0009,P4,15047834,2842,1380
214,2022-06-30,0009,P13,1511566,245,123
213,2022-06-30,0009,P12,10645007,1603,829
212,2022-06-30,0009,P11,1602675,217,113
211,2022-06-30,0009,P7,843284,101,50
210,2022-06-30,0009,P6,7620301,924,474
209,2022-06-30,0009,P2,2274578,255,119
219,2022-06-30,0009,P10,1808715,437,165
232,2022-06-30,0040,P10,2213022,437,172
208,2022-06-30,0009,P1,1200762,150,61
234,2022-06-30,0004,P1,538423,150,29
257,2022-06-30,0049,P9,106800,87,11
256,2022-06-30,0049,P8,643793,524,121
255,2022-06-30,0049,P5,11960592,7690,2215
254,2022-06-30,0049,P4,994332,1879,404
253,2022-06-30,0049,P13,322811,245,76
252,2022-06-30,0049,P12,1917437,1603,408
251,2022-06-30,0049,P11,829007,213,88
250,2022-06-30,0049,P7,276178,101,27
249,2022-06-30,0049,P6,2992910,924,277
248,2022-06-30,0049,P2,1018727,255,85
247,2022-06-30,0049,P1,357216,150,39
259,2022-06-30,0049,P14,2327795,949,269
245,2022-06-30,0004,P10,0,0,0
246,2022-06-30,0004,P14,2297164,949,135
236,2022-06-30,0004,P6,2573880,924,143
237,2022-06-30,0004,P7,318769,101,14
238,2022-06-30,0004,P11,512878,215,29
239,2022-06-30,0004,P12,2867546,1603,262
235,2022-06-30,0004,P2,454216,255,36
241,2022-06-30,0004,P4,0,0,0
242,2022-06-30,0004,P5,9789700,7674,1121
243,2022-06-30,0004,P8,1835376,1006,134
244,2022-06-30,0004,P9,253059,628,22
240,2022-06-30,0004,P13,356703,245,35
379,2022-07-01,0027,P6,3854452,924,433
387,2022-07-01,0027,P9,328222,628,84
386,2022-07-01,0027,P8,1349972,1006,408
385,2022-07-01,0027,P5,28079275,7632,3611
384,2022-07-01,0027,P4,14010435,2845,1135
383,2022-07-01,0027,P13,21804,245,117
382,2022-07-01,0027,P12,146702,1591,780
381,2022-07-01,0027,P11,798874,218,100
380,2022-07-01,0027,P7,381876,101,49
378,2022-07-01,0027,P2,766082,255,119
372,2022-07-01,0021,P5,8900019,7632,2943
376,2022-07-01,0021,P14,3334402,949,372
375,2022-07-01,0021,P10,50133,437,153
374,2022-07-01,0021,P9,361815,628,59
