,date,chain,provider,total_relays,nodes_staked,total_sessions
1589,2022-07-13,0004,P7,180280,101,19
1588,2022-07-13,0004,P6,2246169,1242,220
1598,2022-07-13,0004,P14,1610524,1066,160
1731,2022-07-15,0027,P6,2965418,1244,652
1732,2022-07-15,0027,P7,277969,101,51
1733,2022-07-15,0027,P11,513983,218,104
1734,2022-07-15,0027,P12,126828,1065,587
1739,2022-07-15,0027,P9,146728,628,80
1736,2022-07-15,0027,P4,22551061,3249,1763
1737,2022-07-15,0027,P5,14618706,3821,1921
1738,2022-07-15,0027,P8,605382,1006,386
1730,2022-07-15,0027,P2,504062,291,144
1735,2022-07-15,0027,P13,24600,160,112
1729,2022-07-15,0027,P1,323449,162,82
1717,2022-07-15,0021,P2,4150777,291,137
1727,2022-07-15,0021,P10,0,0,0
1726,2022-07-15,0021,P9,1811631,628,69
1725,2022-07-15,0021,P8,7470897,1006,324
1724,2022-07-15,0021,P5,19364972,3821,1545
1723,2022-07-15,0021,P4,15973508,3249,1480
1722,2022-07-15,0021,P13,2123964,160,77
1721,2022-07-15,0021,P12,15400399,1065,509
1720,2022-07-15,0021,P11,943238,218,83
1719,2022-07-15,0021,P7,600374,101,56
1718,2022-07-15,0021,P6,6956291,1244,553
1740,2022-07-15,0027,P10,0,0,0
1728,2022-07-15,0021,P14,7804713,1066,473
1741,2022-07-15,0027,P14,2505124,1066,627
1753,2022-07-15,03DF,P10,0,0,0
1743,2022-07-15,03DF,P2,204331,291,62
1716,2022-07-15,0021,P1,1279856,162,79
1766,2022-07-15,0005,P10,0,0,0
1765,2022-07-15,0005,P9,196928,628,30
1764,2022-07-15,0005,P8,899049,1006,137
1763,2022-07-15,0005,P5,0,0,0
1762,2022-07-15,0005,P4,5783683,3249,701
1761,2022-07-15,0005,P13,366391,160,38
1760,2022-07-15,0005,P12,2958494,1065,230
1759,2022-07-15,0005,P11,499258,218,50
1758,2022-07-15,0005,P7,158080,101,19
1757,2022-07-15,0005,P6,2707802,1244,262
1756,2022-07-15,0005,P2,578734,291,51
1755,2022-07-15,0005,P1,515761,162,47
1754,2022-07-15,03DF,P14,662812,1066,195
1752,2022-07-15,03DF,P9,0,0,0
1751,2022-07-15,03DF,P8,0,0,0
1750,2022-07-15,03DF,P5,66875,3547,576
1749,2022-07-15,03DF,P4,77015,3237,669
1748,2022-07-15,03DF,P13,80490,160,31
1747,2022-07-15,03DF,P12,670334,1065,241
1746,2022-07-15,03DF,P11,190095,212,59
1745,2022-07-15,03DF,P7,0,0,0
1744,2022-07-15,03DF,P6,0,0,0
1742,2022-07-15,03DF,P1,120678,162,32
1767,2022-07-15,0005,P14,2404051,1066,208
1715,2022-07-15,0049,P14,1888233,1066,351
1713,2022-07-15,0049,P9,22768,87,8
1685,2022-07-15,0040,P5,12038042,3821,1802
1684,2022-07-15,0040,P4,27532161,3249,1722
1683,2022-07-15,0040,P13,1534849,160,82
1682,2022-07-15,0040,P12,17020846,1065,643
1681,2022-07-15,0040,P11,2945490,218,123
1680,2022-07-15,0040,P7,1122699,101,48
1679,2022-07-15,0040,P6,14305804,1244,667
1678,2022-07-15,0040,P2,4437818,291,161
1677,2022-07-15,0040,P1,2652882,162,86
1675,2022-07-15,0009,P10,0,0,0
1686,2022-07-15,0040,P8,6232581,1006,383
1674,2022-07-15,0009,P9,647771,457,66
1672,2022-07-15,0009,P5,19380419,3820,1979
1671,2022-07-15,0009,P4,36453066,3246,1852
1670,2022-07-15,0009,P13,984048,160,95
1669,2022-07-15,0009,P12,9847611,1065,623
1668,2022-07-15,0009,P11,1808056,217,120
1667,2022-07-15,0009,P7,889046,101,57
1666,2022-07-15,0009,P6,8921641,1244,680
1665,2022-07-15,0009,P2,2697312,291,169
1664,2022-07-15,0009,P1,1503841,162,87
1714,2022-07-15,0049,P10,0,0,0
1673,2022-07-15,0009,P8,3599103,986,368
1687,2022-07-15,0040,P9,1533606,628,104
1676,2022-07-15,0009,P14,10079050,1066,594
1689,2022-07-15,0040,P14,16917301,1066,589
1712,2022-07-15,0049,P8,325926,524,115
1688,2022-07-15,0040,P10,0,0,0
1711,2022-07-15,0049,P5,3936768,3817,1063
1710,2022-07-15,0049,P4,88236,1869,599
1709,2022-07-15,0049,P13,175518,160,56
1708,2022-07-15,0049,P12,1214994,1065,320
1707,2022-07-15,0049,P11,332971,213,76
1706,2022-07-15,0049,P7,182764,101,45
1704,2022-07-15,0049,P2,490968,291,99
1703,2022-07-15,0049,P1,303701,162,54
1702,2022-07-15,0004,P14,1930778,1066,161
1701,2022-07-15,0004,P10,0,0,0
1705,2022-07-15,0049,P6,1413644,1244,339
1691,2022-07-15,0004,P2,646800,291,57
1699,2022-07-15,0004,P8,610882,1006,106
1698,2022-07-15,0004,P5,3213558,3813,522
1697,2022-07-15,0004,P4,0,0,0
1696,2022-07-15,0004,P13,142966,160,20
1695,2022-07-15,0004,P12,2094082,1065,169
1694,2022-07-15,0004,P11,332823,215,30
1693,2022-07-15,0004,P7,128996,101,15
1692,2022-07-15,0004,P6,2200066,1244,206
1700,2022-07-15,0004,P9,137611,628,19
1690,2022-07-15,0004,P1,257291,162,20
1836,2022-07-16,0027,P7,253076,101,52
1837,2022-07-16,0027,P11,678152,218,120
1838,2022-07-16,0027,P12,109600,1065,630
1839,2022-07-16,0027,P13,20629,160,119
1844,2022-07-16,0027,P10,0,0,0
1841,2022-07-16,0027,P5,12215323,3837,1961
1842,2022-07-16,0027,P8,639794,1006,376
1843,2022-07-16,0027,P9,141474,628,76
1835,2022-07-16,0027,P6,3307031,1246,713
1840,2022-07-16,0027,P4,22526698,3249,1815
1834,2022-07-16,0027,P2,552839,294,165
1822,2022-07-16,0021,P6,5272904,1246,523
1832,2022-07-16,0021,P14,6197468,1066,463
1831,2022-07-16,0021,P10,0,0,0
1830,2022-07-16,0021,P9,1233731,628,63
1829,2022-07-16,0021,P8,5917402,1006,319
1828,2022-07-16,0021,P5,18276690,3837,1673
1827,2022-07-16,0021,P4,12918945,3249,1477
1826,2022-07-16,0021,P13,1637606,160,84
1825,2022-07-16,0021,P12,12843023,1065,498
1824,2022-07-16,0021,P11,1044430,218,96
1823,2022-07-16,0021,P7,418227,101,43
1845,2022-07-16,0027,P14,1778564,1066,588
1833,2022-07-16,0027,P1,302155,162,117
1846,2022-07-16,03DF,P1,175928,162,37
1871,2022-07-16,0005,P14,2501597,1066,220
1848,2022-07-16,03DF,P6,0,0,0
1821,2022-07-16,0021,P2,3734634,294,146
1870,2022-07-16,0005,P10,0,0,0
1869,2022-07-16,0005,P9,95134,628,36
1868,2022-07-16,0005,P8,870187,1006,139
1867,2022-07-16,0005,P5,0,0,0
1866,2022-07-16,0005,P4,5685353,3249,706
1865,2022-07-16,0005,P13,341339,160,35
1864,2022-07-16,0005,P12,3122498,1065,243
1863,2022-07-16,0005,P11,757054,218,68
1862,2022-07-16,0005,P7,192358,101,20
1861,2022-07-16,0005,P6,3103904,1246,269
1860,2022-07-16,0005,P2,805746,294,59
1859,2022-07-16,0005,P1,468349,162,39
1858,2022-07-16,03DF,P14,1129295,1066,225
1857,2022-07-16,03DF,P10,0,0,0
1856,2022-07-16,03DF,P9,0,0,0
1855,2022-07-16,03DF,P8,0,0,0
1854,2022-07-16,03DF,P5,1426296,3578,717
1853,2022-07-16,03DF,P4,69859,3237,672
1852,2022-07-16,03DF,P13,88341,160,25
1851,2022-07-16,03DF,P12,987659,1065,243
1850,2022-07-16,03DF,P11,183286,212,39
1849,2022-07-16,03DF,P7,0,0,0
1847,2022-07-16,03DF,P2,269689,294,60
1820,2022-07-16,0021,P1,1052608,162,79
1793,2022-07-16,0040,P14,12135164,1066,612
1818,2022-07-16,0049,P10,0,0,0
1790,2022-07-16,0040,P8,4200661,1006,363
1789,2022-07-16,0040,P5,13628888,3837,2032
1788,2022-07-16,0040,P4,28559917,3249,1687
1787,2022-07-16,0040,P13,1387451,160,103
1786,2022-07-16,0040,P12,11039213,1065,595
1785,2022-07-16,0040,P11,2479040,218,131
1784,2022-07-16,0040,P7,1006556,101,53
1783,2022-07-16,0040,P6,12976586,1246,671
1782,2022-07-16,0040,P2,3092611,294,155
1781,2022-07-16,0040,P1,1808547,162,82
1791,2022-07-16,0040,P9,1031619,628,90
1780,2022-07-16,0009,P14,10487957,1066,636
1778,2022-07-16,0009,P9,534378,457,51
1777,2022-07-16,0009,P8,4164645,986,416
1776,2022-07-16,0009,P5,19342104,3836,2077
1775,2022-07-16,0009,P4,33525800,3246,1851
1774,2022-07-16,0009,P13,1030642,160,92
1773,2022-07-16,0009,P12,9398287,1065,629
1772,2022-07-16,0009,P11,2023902,217,121
1771,2022-07-16,0009,P7,896364,101,58
1770,2022-07-16,0009,P6,10899306,1246,701
1769,2022-07-16,0009,P2,2783891,294,177
1779,2022-07-16,0009,P10,0,0,0
1792,2022-07-16,0040,P10,0,0,0
1768,2022-07-16,0009,P1,1593915,162,95
1794,2022-07-16,0004,P1,366101,162,24
1817,2022-07-16,0049,P9,16446,87,6
1816,2022-07-16,0049,P8,338145,524,115
1815,2022-07-16,0049,P5,4219081,3833,1096
1814,2022-07-16,0049,P4,69330,1869,566
1813,2022-07-16,0049,P13,146509,160,47
1812,2022-07-16,0049,P12,1596872,1065,410
1819,2022-07-16,0049,P14,1965057,1066,372
1810,2022-07-16,0049,P7,241452,101,50
1809,2022-07-16,0049,P6,1891153,1246,419
1808,2022-07-16,0049,P2,517038,294,106
1807,2022-07-16,0049,P1,261872,162,48
1811,2022-07-16,0049,P11,370425,213,77
1805,2022-07-16,0004,P10,0,0,0
1806,2022-07-16,0004,P14,3100040,1066,188
1796,2022-07-16,0004,P6,2351223,1246,212
1797,2022-07-16,0004,P7,162320,101,16
1798,2022-07-16,0004,P11,363435,215,31
1799,2022-07-16,0004,P12,3480585,1065,198
1795,2022-07-16,0004,P2,601547,294,46
1801,2022-07-16,0004,P4,0,0,0
1802,2022-07-16,0004,P5,4412172,3833,586
1803,2022-07-16,0004,P8,1181785,1006,113
1804,2022-07-16,0004,P9,308769,628,24
1800,2022-07-16,0004,P13,300614,160,26
1948,2022-07-17,0027,P10,0,0,0
1947,2022-07-17,0027,P9,101150,628,76
1946,2022-07-17,0027,P8,734952,1006,422
1945,2022-07-17,0027,P5,12890185,3837,2090
1944,2022-07-17,0027,P4,25752776,3249,1792
1943,2022-07-17,0027,P13,16327,160,101
1942,2022-07-17,0027,P12,96388,1065,609
1941,2022-07-17,0027,P11,689636,218,140
1940,2022-07-17,0027,P7,307492,101,69
1939,2022-07-17,0027,P6,2997795,1246,696
1927,2022-07-17,0021,P7,617956,101,49
1937,2022-07-17,0027,P1,348998,163,101
1936,2022-07-17,0021,P14,7468177,1066,514
1935,2022-07-17,0021,P10,0,0,0
1934,2022-07-17,0021,P9,1276575,628,68
1933,2022-07-17,0021,P8,7221401,1006,349
1932,2022-07-17,0021,P5,19328994,3837,1683
1931,2022-07-17,0021,P4,6526238,3249,1518
1930,2022-07-17,0021,P13,1971981,160,88
1929,2022-07-17,0021,P12,14370070,1065,500
1928,2022-07-17,0021,P11,1114029,218,93
1949,2022-07-17,0027,P14,2194427,1066,613
1938,2022-07-17,0027,P2,641380,294,177
1950,2022-07-17,03DF,P1,180540,163,28
1963,2022-07-17,0005,P1,413146,163,34
1952,2022-07-17,03DF,P6,0,0,0
1926,2022-07-17,0021,P6,8114294,1246,567
1975,2022-07-17,0005,P14,2772588,1066,253
1974,2022-07-17,0005,P10,0,0,0
1973,2022-07-17,0005,P9,178788,628,40
1972,2022-07-17,0005,P8,1008043,1006,169
1971,2022-07-17,0005,P5,0,0,0
1970,2022-07-17,0005,P4,5634320,3249,645
1969,2022-07-17,0005,P13,319860,160,35
1968,2022-07-17,0005,P12,2789875,1065,234
1967,2022-07-17,0005,P11,518441,218,44
1966,2022-07-17,0005,P7,316698,101,24
1965,2022-07-17,0005,P6,3141914,1246,262
1964,2022-07-17,0005,P2,735655,294,58
1962,2022-07-17,03DF,P14,1299359,1066,223
1961,2022-07-17,03DF,P10,0,0,0
1960,2022-07-17,03DF,P9,0,0,0
1959,2022-07-17,03DF,P8,0,0,0
1958,2022-07-17,03DF,P5,2011091,3578,740
1957,2022-07-17,03DF,P4,78466,3237,678
1956,2022-07-17,03DF,P13,114169,160,33
1955,2022-07-17,03DF,P12,879937,1065,202
1954,2022-07-17,03DF,P11,290949,212,58
1953,2022-07-17,03DF,P7,0,0,0
1951,2022-07-17,03DF,P2,309823,294,65
1925,2022-07-17,0021,P2,4043254,294,147
1924,2022-07-17,0021,P1,1186010,163,77
1872,2022-07-17,0009,P1,1728483,163,106
1895,2022-07-17,0040,P9,845946,628,73
1894,2022-07-17,0040,P8,4621933,1006,385
1893,2022-07-17,0040,P5,10871263,3837,2028
1892,2022-07-17,0040,P4,31424323,3249,1783
1891,2022-07-17,0040,P13,1100680,160,78
1890,2022-07-17,0040,P12,11294923,1065,586
1889,2022-07-17,0040,P11,2177363,218,112
1888,2022-07-17,0040,P7,1227820,101,62
1887,2022-07-17,0040,P6,13896027,1246,686
1886,2022-07-17,0040,P2,3033227,294,146
1884,2022-07-17,0009,P14,10225990,1066,606
1883,2022-07-17,0009,P10,0,0,0
1882,2022-07-17,0009,P9,484316,457,51
1881,2022-07-17,0009,P8,4379217,986,418
1880,2022-07-17,0009,P5,19875941,3836,2099
1879,2022-07-17,0009,P4,36834803,3246,1965
1878,2022-07-17,0009,P13,928539,160,83
1877,2022-07-17,0009,P12,9931769,1065,654
1876,2022-07-17,0009,P11,1953208,218,115
1875,2022-07-17,0009,P7,918760,101,58
1874,2022-07-17,0009,P6,11843945,1246,747
1873,2022-07-17,0009,P2,2592147,294,161
1923,2022-07-17,0049,P14,1371543,1066,295
1896,2022-07-17,0040,P10,0,0,0
1897,2022-07-17,0040,P14,11747204,1066,564
1885,2022-07-17,0040,P1,1798072,163,81
1899,2022-07-17,0004,P2,681065,294,44
1898,2022-07-17,0004,P1,907630,163,32
1921,2022-07-17,0049,P9,8204,87,4
1920,2022-07-17,0049,P8,346320,524,116
1919,2022-07-17,0049,P5,4443304,3833,1249
1918,2022-07-17,0049,P4,74182,1869,611
1917,2022-07-17,0049,P13,141801,160,47
1916,2022-07-17,0049,P12,1332392,1065,353
1915,2022-07-17,0049,P11,288658,214,64
1914,2022-07-17,0049,P7,107877,101,26
1913,2022-07-17,0049,P6,1788897,1246,413
1912,2022-07-17,0049,P2,475645,294,99
1911,2022-07-17,0049,P1,232055,163,47
1922,2022-07-17,0049,P10,0,0,0
1909,2022-07-17,0004,P10,0,0,0
1908,2022-07-17,0004,P9,444233,628,26
1907,2022-07-17,0004,P8,1741113,1006,117
1906,2022-07-17,0004,P5,7209143,3833,590
1905,2022-07-17,0004,P4,0,0,0
1904,2022-07-17,0004,P13,446777,160,29
1903,2022-07-17,0004,P12,4459553,1065,178
1902,2022-07-17,0004,P11,671741,216,42
1901,2022-07-17,0004,P7,207965,101,18
1900,2022-07-17,0004,P6,3381861,1246,222
1910,2022-07-17,0004,P14,4057913,1066,186
2053,2022-07-18,0027,P14,2625071,1066,645
2044,2022-07-18,0027,P7,208934,101,41
2045,2022-07-18,0027,P11,638398,218,124
2046,2022-07-18,0027,P12,101663,1065,561
2047,2022-07-18,0027,P13,19894,160,110
2052,2022-07-18,0027,P10,0,0,0
2049,2022-07-18,0027,P5,13084088,3837,2000
2050,2022-07-18,0027,P8,740713,1006,421
2051,2022-07-18,0027,P9,160473,628,80
2043,2022-07-18,0027,P6,3428389,1247,713
2048,2022-07-18,0027,P4,28673319,3249,1844
2042,2022-07-18,0027,P2,631699,296,163
2036,2022-07-18,0021,P5,22190332,3837,1733
2040,2022-07-18,0021,P14,8572844,1066,516
2039,2022-07-18,0021,P10,0,0,0
2038,2022-07-18,0021,P9,1571506,628,67
2037,2022-07-18,0021,P8,7401347,1006,322
2035,2022-07-18,0021,P4,3018413,3249,1493
2034,2022-07-18,0021,P13,1480152,160,68
2033,2022-07-18,0021,P12,16153106,1065,497
2032,2022-07-18,0021,P11,1884498,218,93
2031,2022-07-18,0021,P7,983252,101,45
2030,2022-07-18,0021,P6,13643374,1247,590
2041,2022-07-18,0027,P1,397001,164,108
2054,2022-07-18,03DF,P1,337675,164,42
2029,2022-07-18,0021,P2,3845717,296,131
2056,2022-07-18,03DF,P6,0,0,0
2079,2022-07-18,0005,P14,2663869,1066,232
2078,2022-07-18,0005,P10,0,0,0
2077,2022-07-18,0005,P9,185388,628,38
2076,2022-07-18,0005,P8,880911,1006,142
2075,2022-07-18,0005,P5,0,0,0
2074,2022-07-18,0005,P4,6258934,3249,683
2073,2022-07-18,0005,P13,285453,160,33
2072,2022-07-18,0005,P12,3135168,1065,240
2071,2022-07-18,0005,P11,476881,218,40
2070,2022-07-18,0005,P7,270596,101,23
2069,2022-07-18,0005,P6,3031333,1247,255
2068,2022-07-18,0005,P2,800696,296,61
2067,2022-07-18,0005,P1,348719,164,31
2066,2022-07-18,03DF,P14,1714051,1066,231
2065,2022-07-18,03DF,P10,0,0,0
2064,2022-07-18,03DF,P9,0,0,0
2063,2022-07-18,03DF,P8,0,0,0
2062,2022-07-18,03DF,P5,2314722,3578,755
2061,2022-07-18,03DF,P4,88679,3237,664
2060,2022-07-18,03DF,P13,137735,160,34
2059,2022-07-18,03DF,P12,1259150,1065,228
2058,2022-07-18,03DF,P11,253714,212,39
2057,2022-07-18,03DF,P7,0,0,0
2055,2022-07-18,03DF,P2,303395,296,59
2028,2022-07-18,0021,P1,1345513,164,73
1976,2022-07-18,0009,P1,1651662,164,91
2026,2022-07-18,0049,P10,0,0,0
1998,2022-07-18,0040,P8,4804264,1006,403
1997,2022-07-18,0040,P5,11453146,3837,2074
1996,2022-07-18,0040,P4,33288881,3249,1800
1995,2022-07-18,0040,P13,1091309,160,73
1994,2022-07-18,0040,P12,11561171,1065,610
1993,2022-07-18,0040,P11,2383825,218,111
1992,2022-07-18,0040,P7,1159934,101,58
1991,2022-07-18,0040,P6,13764524,1247,707
1990,2022-07-18,0040,P2,3586189,296,168
1988,2022-07-18,0009,P14,11441666,1066,645
1999,2022-07-18,0040,P9,1074147,628,91
1987,2022-07-18,0009,P10,0,0,0
1985,2022-07-18,0009,P8,4678006,986,405
1984,2022-07-18,0009,P5,19516858,3836,2135
1983,2022-07-18,0009,P4,35524970,3246,1847
1982,2022-07-18,0009,P13,970840,160,87
1981,2022-07-18,0009,P12,9839252,1065,610
1980,2022-07-18,0009,P11,2430567,218,139
1979,2022-07-18,0009,P7,950099,101,59
1978,2022-07-18,0009,P6,11575722,1247,757
1977,2022-07-18,0009,P2,2611054,296,156
2027,2022-07-18,0049,P14,1257091,1066,324
1986,2022-07-18,0009,P9,561152,457,59
2000,2022-07-18,0040,P10,0,0,0
1989,2022-07-18,0040,P1,2409882,164,109
2002,2022-07-18,0004,P1,936177,164,30
2025,2022-07-18,0049,P9,16140,87,7
2001,2022-07-18,0040,P14,12745505,1066,606
2024,2022-07-18,0049,P8,413005,524,130
2023,2022-07-18,0049,P5,4460049,3833,1175
2022,2022-07-18,0049,P4,85988,1869,636
2021,2022-07-18,0049,P13,155510,160,46
2020,2022-07-18,0049,P12,1238463,1065,331
2019,2022-07-18,0049,P11,333958,214,67
2017,2022-07-18,0049,P6,1734814,1247,381
2016,2022-07-18,0049,P2,439113,296,79
2015,2022-07-18,0049,P1,234322,164,46
2014,2022-07-18,0004,P14,4315362,1066,168
2018,2022-07-18,0049,P7,141879,101,29
2004,2022-07-18,0004,P6,4047375,1247,225
2012,2022-07-18,0004,P9,179532,628,15
2011,2022-07-18,0004,P8,2349576,1006,122
2010,2022-07-18,0004,P5,6626738,3833,571
2009,2022-07-18,0004,P4,0,0,0
2008,2022-07-18,0004,P13,289850,160,16
2007,2022-07-18,0004,P12,5517617,1065,182
2006,2022-07-18,0004,P11,650941,216,39
2005,2022-07-18,0004,P7,220461,101,16
2013,2022-07-18,0004,P10,0,0,0
2003,2022-07-18,0004,P2,1768042,296,56
2148,2022-07-19,0027,P7,284659,101,63
2149,2022-07-19,0027,P11,674946,218,138
2150,2022-07-19,0027,P12,103919,1065,551
2151,2022-07-19,0027,P13,17385,160,89
2156,2022-07-19,0027,P10,0,0,0
2153,2022-07-19,0027,P5,14538505,3837,2115
2154,2022-07-19,0027,P8,641143,1006,402
2155,2022-07-19,0027,P9,173166,628,94
2147,2022-07-19,0027,P6,3193065,1260,689
2152,2022-07-19,0027,P4,26054738,3249,1876
2146,2022-07-19,0027,P2,604262,298,179
2134,2022-07-19,0021,P6,11723409,1260,545
2144,2022-07-19,0021,P14,8707354,1068,532
2143,2022-07-19,0021,P10,0,0,0
2142,2022-07-19,0021,P9,1073948,628,55
2141,2022-07-19,0021,P8,6732432,1006,333
2140,2022-07-19,0021,P5,25478784,3837,1794
2139,2022-07-19,0021,P4,4527223,3249,1551
2138,2022-07-19,0021,P13,2089281,160,90
2137,2022-07-19,0021,P12,14949359,1065,481
2136,2022-07-19,0021,P11,1905912,218,94
2135,2022-07-19,0021,P7,867303,101,48
2157,2022-07-19,0027,P14,2174083,1068,563
2145,2022-07-19,0027,P1,318752,165,97
2158,2022-07-19,03DF,P1,439501,165,40
2183,2022-07-19,0005,P14,2452554,1068,218
2160,2022-07-19,03DF,P6,385803,1079,51
2133,2022-07-19,0021,P2,3961133,298,141
2182,2022-07-19,0005,P10,0,0,0
2181,2022-07-19,0005,P9,90849,628,21
2180,2022-07-19,0005,P8,911793,1006,153
2179,2022-07-19,0005,P5,0,0,0
2178,2022-07-19,0005,P4,5739095,3249,687
2177,2022-07-19,0005,P13,379633,160,40
2176,2022-07-19,0005,P12,3080151,1065,220
2175,2022-07-19,0005,P11,804511,218,66
2174,2022-07-19,0005,P7,220571,101,22
2173,2022-07-19,0005,P6,2867070,1260,241
2172,2022-07-19,0005,P2,818055,298,67
2171,2022-07-19,0005,P1,309292,165,28
2170,2022-07-19,03DF,P14,2267229,1068,230
2169,2022-07-19,03DF,P10,0,0,0
2168,2022-07-19,03DF,P9,0,0,0
2167,2022-07-19,03DF,P8,0,0,0
2166,2022-07-19,03DF,P5,2573767,3579,682
2165,2022-07-19,03DF,P4,88782,3237,662
2164,2022-07-19,03DF,P13,204636,160,39
2163,2022-07-19,03DF,P12,1511046,1065,214
2162,2022-07-19,03DF,P11,265830,199,38
2161,2022-07-19,03DF,P7,0,0,0
2159,2022-07-19,03DF,P2,479457,298,68
2132,2022-07-19,0021,P1,1646251,165,93
2080,2022-07-19,0009,P1,1987860,165,115
2130,2022-07-19,0049,P10,0,0,0
2102,2022-07-19,0040,P8,4339817,1006,372
2101,2022-07-19,0040,P5,10796405,3837,2045
2100,2022-07-19,0040,P4,32192953,3249,1786
2099,2022-07-19,0040,P13,1274709,160,83
2098,2022-07-19,0040,P12,11327038,1065,598
2097,2022-07-19,0040,P11,2402680,218,123
2096,2022-07-19,0040,P7,1194479,101,60
2095,2022-07-19,0040,P6,12519802,1260,643
2094,2022-07-19,0040,P2,3287952,298,163
2093,2022-07-19,0040,P1,1804123,165,80
2103,2022-07-19,0040,P9,1035164,628,82
2092,2022-07-19,0009,P14,11228233,1068,654
2090,2022-07-19,0009,P9,741804,457,64
2089,2022-07-19,0009,P8,4096144,986,358
2088,2022-07-19,0009,P5,19376756,3836,2161
2087,2022-07-19,0009,P4,35662030,3246,1889
2086,2022-07-19,0009,P13,1028410,160,86
2085,2022-07-19,0009,P12,9765586,1065,634
2084,2022-07-19,0009,P11,2323849,218,133
2083,2022-07-19,0009,P7,1083745,101,65
2082,2022-07-19,0009,P6,11024342,1260,734
2081,2022-07-19,0009,P2,2487793,298,156
2091,2022-07-19,0009,P10,0,0,0
2104,2022-07-19,0040,P10,0,0,0
2131,2022-07-19,0049,P14,1668470,1068,372
2106,2022-07-19,0004,P1,805353,165,33
2129,2022-07-19,0049,P9,22048,87,6
2128,2022-07-19,0049,P8,470371,524,131
2127,2022-07-19,0049,P5,4757946,3833,1171
2126,2022-07-19,0049,P4,78071,1869,583
2125,2022-07-19,0049,P13,184439,160,55
2124,2022-07-19,0049,P12,1288147,1065,317
2105,2022-07-19,0040,P14,13633149,1068,651
2122,2022-07-19,0049,P7,182912,101,36
2121,2022-07-19,0049,P6,2262782,1260,432
2120,2022-07-19,0049,P2,532055,298,95
2119,2022-07-19,0049,P1,231992,165,49
2123,2022-07-19,0049,P11,396543,216,72
2117,2022-07-19,0004,P10,0,0,0
2118,2022-07-19,0004,P14,4252433,1068,185
2108,2022-07-19,0004,P6,2495212,1260,205
2109,2022-07-19,0004,P7,155087,101,19
2110,2022-07-19,0004,P11,488008,216,45
2111,2022-07-19,0004,P12,4157752,1065,179
2107,2022-07-19,0004,P2,1342096,298,48
2113,2022-07-19,0004,P4,0,0,0
2114,2022-07-19,0004,P5,6056958,3833,573
2115,2022-07-19,0004,P8,1981896,1006,98
2116,2022-07-19,0004,P9,265060,628,21
2112,2022-07-19,0004,P13,448901,160,24
2259,2022-07-21,0027,P9,233283,628,84
2258,2022-07-21,0027,P8,976808,867,378
2257,2022-07-21,0027,P5,13782396,3837,2144
2256,2022-07-21,0027,P4,23280589,3249,1960
2255,2022-07-21,0027,P13,16894,160,82
2254,2022-07-21,0027,P12,124219,1063,590
2253,2022-07-21,0027,P11,769983,218,137
2252,2022-07-21,0027,P7,0,0,0
2251,2022-07-21,0027,P6,3836797,1260,693
2250,2022-07-21,0027,P2,728010,298,171
2238,2022-07-21,0021,P6,6853990,1260,551
2248,2022-07-21,0021,P14,5018050,1068,522
2247,2022-07-21,0021,P10,163772,447,104
2246,2022-07-21,0021,P9,902760,628,81
2245,2022-07-21,0021,P8,4271552,867,352
2244,2022-07-21,0021,P5,12990515,3837,1845
2243,2022-07-21,0021,P4,1945769,3249,1456
2242,2022-07-21,0021,P13,1163006,160,91
2241,2022-07-21,0021,P12,8013348,1063,531
2240,2022-07-21,0021,P11,1013898,218,89
2239,2022-07-21,0021,P7,0,0,0
2260,2022-07-21,0027,P10,13475,411,131
2249,2022-07-21,0027,P1,412712,166,92
2261,2022-07-21,0027,P14,2647416,1068,621
2274,2022-07-21,03DF,P14,3116879,1068,218
2263,2022-07-21,03DF,P2,506441,298,56
2237,2022-07-21,0021,P2,2520222,298,159
2286,2022-07-21,0005,P10,124653,445,40
2285,2022-07-21,0005,P9,324392,628,41
2284,2022-07-21,0005,P8,1059271,867,131
2283,2022-07-21,0005,P5,0,0,0
2282,2022-07-21,0005,P4,5418812,3249,663
2281,2022-07-21,0005,P13,365994,160,39
2280,2022-07-21,0005,P12,3153464,1063,243
2279,2022-07-21,0005,P11,748556,218,54
2278,2022-07-21,0005,P7,0,0,0
2277,2022-07-21,0005,P6,3384766,1260,269
2276,2022-07-21,0005,P2,873462,298,72
2275,2022-07-21,0005,P1,509236,166,46
2273,2022-07-21,03DF,P10,0,0,0
2272,2022-07-21,03DF,P9,0,0,0
2271,2022-07-21,03DF,P8,0,0,0
2270,2022-07-21,03DF,P5,3725519,3590,724
2269,2022-07-21,03DF,P4,98625,3237,660
2268,2022-07-21,03DF,P13,329451,160,46
2267,2022-07-21,03DF,P12,2408238,1063,240
2266,2022-07-21,03DF,P11,561636,215,50
2265,2022-07-21,03DF,P7,0,0,0
2264,2022-07-21,03DF,P6,2621493,1218,244
2262,2022-07-21,03DF,P1,565370,166,39
2287,2022-07-21,0005,P14,2939448,1068,242
2236,2022-07-21,0021,P1,742294,166,59
2234,2022-07-21,0049,P10,108382,411,82
2206,2022-07-21,0040,P8,4907424,867,370
2205,2022-07-21,0040,P5,20055693,3837,2152
2204,2022-07-21,0040,P4,32927946,3249,1853
2203,2022-07-21,0040,P13,1468783,160,97
2202,2022-07-21,0040,P12,12304947,1063,611
2201,2022-07-21,0040,P11,2611732,218,124
